participant_id,trial_number,span_length,span_attempt,digit_sequence,user_sequence,is_correct,response_time,timestamp
70526731,1,2,1,4 8,8 4,True,5.289560794830322,2026-01-19T10:33:35.144508
70526731,2,2,2,6 8,8 6,True,4.0516321659088135,2026-01-19T10:33:46.097166
70526731,3,2,1,8 3,3 8,True,4.094363689422607,2026-01-19T10:33:59.596676
70526731,4,2,2,3 8,8 3,True,3.8481807708740234,2026-01-19T10:34:10.354067
70526731,5,3,1,8 1 3,3 1 8,True,5.290298938751221,2026-01-19T10:34:25.880296
70526731,6,3,2,1 9 8,8 9 1,True,4.365926027297974,2026-01-19T10:34:37.965186
70526731,7,4,1,1 6 7 2,2 7 6 1,True,5.717654466629028,2026-01-19T10:34:54.699010
70526731,8,4,2,3 1 7 6,6 7 1 3,True,5.224958181381226,2026-01-19T10:35:08.435826
70526731,9,5,1,8 4 2 5 3,3 5 2 4 8,True,12.021162271499634,2026-01-19T10:35:32.278700
70526731,10,5,2,1 8 2 4 9,9 4 2 8 1,True,13.17684817314148,2026-01-19T10:35:54.766973
70526731,11,6,1,7 4 2 8 9 5,5 9 8 2 4 7,True,20.22019338607788,2026-01-19T10:36:27.622407
70526731,12,6,2,1 7 2 5 6 8,8 6 5 2 7 1,True,10.626996517181396,2026-01-19T10:36:48.352918
70526731,13,7,1,9 4 2 3 1 7 8,3 7 1 2 4 9,False,12.919128179550171,2026-01-19T10:37:14.689112
70526731,14,7,2,7 6 2 8 9 4 3,3 4 8 2 6 7,False,17.769251585006714,2026-01-19T10:37:43.365569
